ID1,ID2,Latitude,Longitude,Elevation,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,Rad01,Rad02,Rad03,Rad04,Rad05,Rad06,Rad07,Rad08,Rad09,Rad10,Rad11,Rad12,DD_0_01,DD_0_02,DD_0_03,DD_0_04,DD_0_05,DD_0_06,DD_0_07,DD_0_08,DD_0_09,DD_0_10,DD_0_11,DD_0_12,DD5_01,DD5_02,DD5_03,DD5_04,DD5_05,DD5_06,DD5_07,DD5_08,DD5_09,DD5_10,DD5_11,DD5_12,DD_18_01,DD_18_02,DD_18_03,DD_18_04,DD_18_05,DD_18_06,DD_18_07,DD_18_08,DD_18_09,DD_18_10,DD_18_11,DD_18_12,DD18_01,DD18_02,DD18_03,DD18_04,DD18_05,DD18_06,DD18_07,DD18_08,DD18_09,DD18_10,DD18_11,DD18_12,NFFD01,NFFD02,NFFD03,NFFD04,NFFD05,NFFD06,NFFD07,NFFD08,NFFD09,NFFD10,NFFD11,NFFD12,PAS01,PAS02,PAS03,PAS04,PAS05,PAS06,PAS07,PAS08,PAS09,PAS10,PAS11,PAS12,Eref01,Eref02,Eref03,Eref04,Eref05,Eref06,Eref07,Eref08,Eref09,Eref10,Eref11,Eref12,CMD01,CMD02,CMD03,CMD04,CMD05,CMD06,CMD07,CMD08,CMD09,CMD10,CMD11,CMD12,RH01,RH02,RH03,RH04,RH05,RH06,RH07,RH08,RH09,RH10,RH11,RH12,CMI01,CMI02,CMI03,CMI04,CMI05,CMI06,CMI07,CMI08,CMI09,CMI10,CMI11,CMI12
1,1,51.335289,-117.5297595,1915,-3.4,-6.9,-1.2,4.1,11.8,10.8,16.8,15,7.2,3.4,-1.8,-4.9,-7,-12.2,-6,-3.3,1.6,3.3,5.9,5.9,1,-2.6,-5.4,-7.9,-5.2,-9.5,-3.6,0.4,6.7,7,11.4,10.4,4.1,0.4,-3.6,-6.4,271,219,200,181,39,155,70,81,202,128,254,174,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,183,266,143,51,2,2,0,0,8,52,141,214,0,0,0,6,76,78,197,166,36,15,0,0,719,767,672,528,351,329,206,236,417,547,648,752,0,0,1,0,0,0,1,1,0,0,2,1,3,0,3,5,19,25,30,30,17,8,4,2,191,215,187,134,6,19,2,4,58,72,176,148,0,0,0,37,74,68,95,71,32,18,0,0,0,0,0,0,36,0,25,0,0,0,0,0,84,76,80,72,66,75,65,70,79,77,85,91,27.14,21.89,19.8,17.11,-0.27,11.9,-0.34,1.92,18.22,11.85,25.23,17.44
2,2,50.9769367,-115.9592102,1648,-2.4,-6.4,-1.5,7.9,15.6,16.7,21.6,20.6,11.1,6.4,0.5,-3.9,-9.7,-16.9,-9.6,-2.6,2.6,4,6,5.6,0.5,-3.5,-6.4,-10.6,-6.1,-11.7,-5.5,2.7,9.1,10.4,13.8,13.1,5.8,1.5,-2.9,-7.2,59,81,89,90,67,129,49,43,120,72,72,49,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,206,329,195,24,1,0,0,0,4,36,125,237,0,0,0,24,135,162,273,253,58,21,1,0,746,827,732,460,277,230,132,153,366,514,628,778,0,0,0,0,0,1,4,4,0,0,0,0,1,0,1,7,22,26,30,29,16,6,3,1,46,80,87,37,3,3,0,1,22,29,46,44,0,0,0,50,92,100,124,101,46,24,0,0,0,0,0,0,25,0,75,58,0,0,0,0,69,55,66,63,59,60,53,54,65,64,72,71,5.91,8.09,8.89,6.88,0.06,5.36,-5.92,-5.78,8.37,5.62,6.93,4.89
3,3,51.0926042,-118.0422245,1761,-2.8,-5.9,-0.9,4.4,12.8,12,17.9,15.6,8.1,3.7,-1.7,-4.4,-6.2,-10.6,-5.3,-2.9,2.3,3.8,6.9,6.4,1.9,-2.2,-4.7,-6.9,-4.5,-8.3,-3.1,0.8,7.5,7.9,12.4,11,5,0.7,-3.2,-5.7,290,247,240,184,48,152,74,76,212,156,278,187,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,165,240,130,45,1,1,0,0,6,47,131,194,0,0,0,7,95,96,230,185,46,17,0,0,698,731,656,517,325,304,175,218,391,537,635,730,0,0,1,0,0,0,2,1,0,0,2,1,3,1,3,6,22,26,30,30,20,8,5,2,188,239,219,127,5,12,1,3,49,80,183,149,0,0,0,38,78,73,99,73,34,18,0,0,0,0,0,0,31,0,26,0,0,0,0,0,86,80,81,73,65,73,65,71,79,78,87,93,28.96,24.71,23.8,17.32,0.08,11.09,-0.36,1.3,18.91,14.63,27.64,18.65
4,4,48.7919313,-125.156359,8,8.7,7.8,8.7,12.6,16.4,16.3,19.5,19.3,16.6,14.5,11.5,8.8,4,1.6,1.7,5.2,8.9,9.9,11.6,11.7,9.5,6.2,5.4,2.6,6.4,4.7,5.2,8.9,12.6,13.1,15.6,15.5,13.1,10.4,8.5,5.7,581,185,106,236,29,118,26,20,302,185,414,502,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14,19,16,3,0,0,0,0,0,1,4,15,68,31,38,119,241,243,328,326,243,175,110,56,364,369,399,274,177,148,87,91,157,238,287,377,0,0,0,0,5,6,11,13,9,0,0,0,26,18,20,27,31,30,31,31,29,29,27,22,13,8,5,4,0,1,0,0,5,1,7,11,13,20,36,57,82,80,95,80,52,35,17,11,0,0,0,0,53,0,69,60,0,0,0,0,84,78,76,75,76,79,75,76,77,73,79,81,56.04,16.68,8.48,19.83,-2.16,7.06,-3.58,-4.04,25.24,13.87,38.25,48.08
5,5,51.4666667,-116.5833333,1979,-3.6,-8.2,-3.3,4.5,12.3,13.1,17.5,16.2,7.8,5,-1.3,-5.5,-10,-17.5,-10.6,-4.2,0.8,2.7,4.7,5,-0.5,-4.3,-7.5,-11.2,-6.8,-12.9,-7,0.1,6.5,7.9,11.1,10.6,3.6,0.3,-4.4,-8.4,100,105,99,93,39,111,73,70,135,67,114,76,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,225,362,232,55,3,1,0,0,10,53,161,267,0,0,0,7,72,96,188,171,31,15,0,0,768,860,775,536,356,304,214,231,431,549,672,813,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,4,17,23,29,29,13,4,2,1,82,104,99,71,6,9,2,3,44,38,86,71,0,0,0,40,78,83,102,79,36,22,0,0,0,0,0,0,40,0,29,9,0,0,0,0,73,60,69,67,62,66,60,64,71,66,74,74,9.97,10.46,9.94,8.23,-0.56,6.14,-0.84,-0.16,11.25,5.49,11.32,7.61
